Prueba de cabecera;AccX;AccY;AccZ;GyrX;GyrY;GyrZ;MagX;MagY;MagZ
--- Reporte Segundo IMU ---;
T+0ms | Acc(g): -0.04; 0.99; -0.01 | Gyr(dps): 2.6; 0.9 | Mag(uT): -51.3;
T+100ms | Acc(g): -0.04; 0.99; -0.01 | Gyr(dps): 2.4; 1.0 | Mag(uT): -51.1;
T+200ms | Acc(g): -0.04; 0.99; -0.01 | Gyr(dps): 2.7; 0.9 | Mag(uT): -51.6;
T+300ms | Acc(g): -0.05; 0.99; -0.01 | Gyr(dps): 2.5; 1.0 | Mag(uT): -51.6;
T+400ms | Acc(g): -0.04; 0.99; -0.01 | Gyr(dps): 2.6; 0.9 | Mag(uT): -51.7;
T+500ms | Acc(g): -0.04; 0.99; -0.01 | Gyr(dps): 2.6; 0.9 | Mag(uT): -51.8;
T+600ms | Acc(g): -0.04; 0.99; -0.00 | Gyr(dps): 2.6; 0.9 | Mag(uT): -51.4;
T+700ms | Acc(g): -0.04; 0.99; -0.01 | Gyr(dps): 2.6; 0.9 | Mag(uT): -51.6;
T+800ms | Acc(g): -0.04; 0.99; -0.01 | Gyr(dps): 2.7; 0.9 | Mag(uT): -51.7;
T+900ms | Acc(g): -0.04; 0.99; -0.01 | Gyr(dps): 2.6; 0.8 | Mag(uT): -51.4;
--- Reporte Segundo IMU ---;
T+0ms | Acc(g): -0.05; 0.99; -0.01 | Gyr(dps): 2.4; 1.0 | Mag(uT): -51.3;
T+100ms | Acc(g): -0.05; 0.99; -0.01 | Gyr(dps): 2.7; 0.9 | Mag(uT): -51.3;
T+200ms | Acc(g): -0.04; 0.99; -0.01 | Gyr(dps): 2.3; 0.9 | Mag(uT): -51.5;
T+300ms | Acc(g): -0.05; 0.99; -0.01 | Gyr(dps): 2.7; 0.9 | Mag(uT): -51.3;
T+400ms | Acc(g): -0.04; 0.99; -0.01 | Gyr(dps): 2.6; 0.9 | Mag(uT): -51.1;
T+500ms | Acc(g): -0.04; 0.99; -0.01 | Gyr(dps): 2.5; 1.0 | Mag(uT): -51.3;
T+600ms | Acc(g): -0.04; 0.99; -0.01 | Gyr(dps): 2.7; 0.9 | Mag(uT): -51.7;
T+700ms | Acc(g): -0.04; 0.99; -0.01 | Gyr(dps): 2.4; 0.9 | Mag(uT): -51.8;
T+800ms | Acc(g): -0.04; 0.99; -0.01 | Gyr(dps): 2.6; 1.0 | Mag(uT): -51.6;
T+900ms | Acc(g): -0.04; 0.99; -0.01 | Gyr(dps): 2.7; 1.0 | Mag(uT): -51.4;
--- Reporte Segundo IMU ---;
T+0ms | Acc(g): -0.04; 0.99; -0.01 | Gyr(dps): 2.4; 0.9 | Mag(uT): -51.5;
T+100ms | Acc(g): -0.04; 0.99; -0.00 | Gyr(dps): 2.5; 0.9 | Mag(uT): -51.5;
T+200ms | Acc(g): -0.04; 0.99; -0.01 | Gyr(dps): 2.7; 1.0 | Mag(uT): -50.8;
T+300ms | Acc(g): -0.04; 0.99; -0.01 | Gyr(dps): 2.3; 0.9 | Mag(uT): -52.0;
T+400ms | Acc(g): -0.05; 0.99; -0.01 | Gyr(dps): 2.7; 0.8 | Mag(uT): -51.6;
T+500ms | Acc(g): -0.04; 0.99; -0.01 | Gyr(dps): 2.6; 0.8 | Mag(uT): -51.7;
T+600ms | Acc(g): -0.04; 0.99; -0.01 | Gyr(dps): 2.7; 0.9 | Mag(uT): -51.6;
T+700ms | Acc(g): -0.04; 0.99; -0.00 | Gyr(dps): 2.7; 1.0 | Mag(uT): -51.6;
T+800ms | Acc(g): -0.04; 0.99; -0.01 | Gyr(dps): 2.5; 1.0 | Mag(uT): -51.8;
T+900ms | Acc(g): -0.04; 0.99; -0.01 | Gyr(dps): 2.9; 0.9 | Mag(uT): -51.9;
--- Reporte Segundo IMU ---;
T+0ms | Acc(g): -0.04; 0.99; -0.01 | Gyr(dps): 2.6; 0.9 | Mag(uT): -51.7;
T+100ms | Acc(g): -0.04; 0.99; -0.00 | Gyr(dps): 2.7; 0.7 | Mag(uT): -51.4;
T+200ms | Acc(g): -0.04; 0.99; -0.01 | Gyr(dps): 2.6; 0.7 | Mag(uT): -51.9;
T+300ms | Acc(g): -0.04; 0.99; -0.01 | Gyr(dps): 2.4; 0.9 | Mag(uT): -51.5;
T+400ms | Acc(g): -0.04; 0.99; -0.01 | Gyr(dps): 2.7; 0.9 | Mag(uT): -51.0;
T+500ms | Acc(g): -0.04; 0.99; -0.01 | Gyr(dps): 2.4; 0.9 | Mag(uT): -51.9;
T+600ms | Acc(g): -0.05; 0.99; -0.01 | Gyr(dps): 2.7; 0.7 | Mag(uT): -51.5;
T+700ms | Acc(g): -0.05; 0.99; -0.01 | Gyr(dps): 2.6; 1.0 | Mag(uT): -51.3;
T+800ms | Acc(g): -0.04; 0.99; -0.01 | Gyr(dps): 2.4; 1.0 | Mag(uT): -51.2;
T+900ms | Acc(g): -0.05; 0.99; -0.01 | Gyr(dps): 2.7; 0.9 | Mag(uT): -51.2;
--- Reporte Segundo IMU ---;
T+0ms | Acc(g): -0.04; 0.99; -0.01 | Gyr(dps): 2.9; 0.9 | Mag(uT): -51.2;
T+100ms | Acc(g): -0.05; 0.99; -0.01 | Gyr(dps): 2.3; 0.7 | Mag(uT): -51.4;
T+200ms | Acc(g): -0.05; 0.99; -0.00 | Gyr(dps): 2.8; 0.7 | Mag(uT): -51.7;
T+300ms | Acc(g): -0.04; 0.99; -0.01 | Gyr(dps): 2.5; 0.9 | Mag(uT): -51.0;
T+400ms | Acc(g): -0.04; 0.99; -0.01 | Gyr(dps): 2.4; 0.9 | Mag(uT): -51.0;
T+500ms | Acc(g): -0.04; 0.99; -0.01 | Gyr(dps): 2.6; 0.9 | Mag(uT): -51.4;
T+600ms | Acc(g): -0.04; 0.99; -0.01 | Gyr(dps): 2.7; 0.8 | Mag(uT): -51.1;
T+700ms | Acc(g): -0.05; 0.99; -0.01 | Gyr(dps): 2.6; 0.8 | Mag(uT): -51.3;
T+800ms | Acc(g): -0.04; 0.99; -0.01 | Gyr(dps): 2.8; 1.0 | Mag(uT): -51.3;
T+900ms | Acc(g): -0.04; 0.99; -0.01 | Gyr(dps): 2.3; 0.9 | Mag(uT): -51.6;
--- Reporte Segundo IMU ---;
T+0ms | Acc(g): -0.04; 0.99; -0.01 | Gyr(dps): 2.7; 0.9 | Mag(uT): -51.6;
T+100ms | Acc(g): -0.04; 0.99; -0.01 | Gyr(dps): 2.4; 0.9 | Mag(uT): -51.9;
T+200ms | Acc(g): -0.05; 0.99; -0.01 | Gyr(dps): 2.4; 0.9 | Mag(uT): -51.2;
T+300ms | Acc(g): -0.04; 0.99; -0.01 | Gyr(dps): 2.7; 0.9 | Mag(uT): -51.7;
T+400ms | Acc(g): -0.04; 0.99; -0.01 | Gyr(dps): 2.5; 0.8 | Mag(uT): -51.7;
T+500ms | Acc(g): -0.04; 0.99; -0.01 | Gyr(dps): 2.7; 1.0 | Mag(uT): -51.7;
T+600ms | Acc(g): -0.05; 0.99; -0.01 | Gyr(dps): 2.5; 1.0 | Mag(uT): -51.4;
T+700ms | Acc(g): -0.04; 0.99; -0.01 | Gyr(dps): 2.6; 0.8 | Mag(uT): -51.5;
T+800ms | Acc(g): -0.04; 0.99; -0.01 | Gyr(dps): 2.4; 1.0 | Mag(uT): -51.3;
T+900ms | Acc(g): -0.04; 0.99; -0.01 | Gyr(dps): 2.7; 0.9 | Mag(uT): -52.0;
--- Reporte Segundo IMU ---;
T+0ms | Acc(g): -0.04; 0.99; -0.01 | Gyr(dps): 2.6; 1.0 | Mag(uT): -51.6;
T+100ms | Acc(g): -0.05; 0.99; -0.01 | Gyr(dps): 2.8; 0.8 | Mag(uT): -51.9;
T+200ms | Acc(g): -0.04; 0.99; -0.01 | Gyr(dps): 2.5; 1.1 | Mag(uT): -51.5;
T+300ms | Acc(g): -0.04; 0.99; -0.01 | Gyr(dps): 2.6; 0.9 | Mag(uT): -51.8;
T+400ms | Acc(g): -0.04; 0.99; -0.00 | Gyr(dps): 2.7; 0.9 | Mag(uT): -51.4;
T+500ms | Acc(g): -0.04; 0.99; -0.01 | Gyr(dps): 2.5; 0.9 | Mag(uT): -52.1;
T+600ms | Acc(g): -0.04; 0.99; -0.01 | Gyr(dps): 2.4; 1.0 | Mag(uT): -51.4;
T+700ms | Acc(g): -0.04; 0.99; -0.01 | Gyr(dps): 2.8; 1.0 | Mag(uT): -51.4;
T+800ms | Acc(g): -0.04; 0.99; -0.01 | Gyr(dps): 2.3; 0.9 | Mag(uT): -51.4;
T+900ms | Acc(g): -0.04; 0.99; -0.01 | Gyr(dps): 2.8; 0.9 | Mag(uT): -51.8;
--- Reporte Segundo IMU ---;
T+0ms | Acc(g): -0.04; 0.99; -0.01 | Gyr(dps): 2.4; 1.0 | Mag(uT): -51.9;
T+100ms | Acc(g): -0.04; 0.99; -0.01 | Gyr(dps): 2.6; 0.9 | Mag(uT): -51.3;
T+200ms | Acc(g): -0.04; 0.99; -0.01 | Gyr(dps): 2.5; 0.9 | Mag(uT): -51.8;
T+300ms | Acc(g): -0.04; 0.99; -0.01 | Gyr(dps): 2.6; 0.8 | Mag(uT): -51.8;
T+400ms | Acc(g): -0.04; 0.99; -0.01 | Gyr(dps): 2.6; 0.9 | Mag(uT): -52.0;
T+500ms | Acc(g): -0.04; 0.99; -0.01 | Gyr(dps): 2.6; 0.9 | Mag(uT): -51.5;
T+600ms | Acc(g): -0.04; 0.99; -0.00 | Gyr(dps): 2.6; 0.9 | Mag(uT): -52.1;
T+700ms | Acc(g): -0.04; 0.99; -0.01 | Gyr(dps): 2.1; 0.9 | Mag(uT): -52.2;
T+800ms | Acc(g): -0.04; 0.99; -0.01 | Gyr(dps): 2.6; 0.9 | Mag(uT): -51.4;
T+900ms | Acc(g): -0.04; 0.99; -0.01 | Gyr(dps): 2.3; 1.0 | Mag(uT): -51.9;
